,Availability,Base caliber,Basic Info,Bezel material,Bracelet color,Bracelet material,Bracelet/strap,Brand,Caliber,Case,Case diameter,Case material,Clasp,Clasp material,Condition,Crystal,Dial,Dial numerals,Expected delivery,Functions,Gender,Listing number,Location,Model,Movement,Movement/Caliber,Number of jewels,Payment Method,Power reserve,Reference number,Scope of delivery,Water resistance,Year,name,price,url,Code,Others,Thickness,Buckle width,Country
15269328.htm,Available now,cal. 3135,Basic Info,Ceramic,Steel,Steel,Bracelet/strap,Rolex,Caliber,Case,40 mm,Steel,Fold clasp,Steel,"New (Brand new, without any signs of wear)",Sapphire crystal,Black,No numerals,"Jun 17, 2020 - Jun 29, 2020",Functions,Men's watch/Unisex,939W08,"Hong Kong, TST East Kowloon",Submariner Date,Automatic,3135,31,Bank transfer,48 h,116610LV,"Original box, original papers",30 ATM,2020,Rolex Submariner Date ,24218.0,https://www.chrono24.com.au/rolex/15269328.htm,,,,,Hong Kong
15128403.htm,Available now,3130,Basic Info,Ceramic,Steel,Steel,Bracelet/strap,Rolex,Caliber,Case,40 mm,Steel,Fold clasp,Steel,"Unworn (Mint condition, without signs of wear)",Sapphire crystal,Black,No numerals,,,Men's watch/Unisex,9095F0,"United States of America, California, Bell",Submariner (No Date),Automatic,3130,31,Bank transfer,48 h,114060,"Original box, original papers",30 ATM,2020 (Approximation),Rolex Submariner (No Date) ,14209.0,https://www.chrono24.com.au/rolex/15128403.htm,,,,,United States of America
15079733.htm,Available now,cal. 3135,Basic Info,Ceramic,Steel,Steel,Bracelet/strap,Rolex,Caliber,Case,40 mm,Steel,Fold clasp,Steel,"New (Brand new, without any signs of wear)",Sapphire crystal,Black,No numerals,"Jun 17, 2020 - Jun 29, 2020",Functions,Men's watch/Unisex,8Z7LH9,"Italy, milano",Submariner Date,Automatic,3135,31,Bank transfer,48 h,116610LN,"Original box, original papers",30 ATM,2020,Rolex Submariner Date ,18035.0,https://www.chrono24.com.au/rolex/15079733.htm,,,,,Italy
15293129.htm,Available now,,Basic Info,Ceramic,Steel,Steel,Bracelet/strap,Rolex,Caliber,Case,40 mm,Steel,Fold clasp,Steel,Very good (Worn with little to no signs of wear),,Black,,"Jun 17, 2020 - Jun 29, 2020",,,93S950,"Germany, Prüm",Submariner Date,Automatic,,,Bank transfer,,116610LN,"Original box, original papers",30 ATM,2020,"Rolex Submariner Date Neuwertig LC100 116610LN from 2020, Box, Papers ",19218.0,https://www.chrono24.com.au/rolex/15293129.htm,CW 4718,,,,Germany
15250965.htm,Available now,cal. 3135,Basic Info,Ceramic,Steel,Steel,Bracelet/strap,Rolex,Caliber,Case,40 mm,Steel,Fold clasp,Steel,"Unworn (Mint condition, without signs of wear)",Sapphire crystal,Black,No numerals,,Functions,Men's watch/Unisex,92VPX7,"Switzerland, Brislach",Submariner Date,Automatic,3135,31,Bank transfer,48 h,116610LN,"Original box, original papers",30 ATM,2020,Rolex Submariner Date ,19839.0,https://www.chrono24.com.au/rolex/15250965.htm,,,,,Switzerland
15051762.htm,Available now,,Basic Info,,Steel,Steel,Bracelet/strap,Rolex,Caliber,Case,40 mm,Steel,Fold clasp,Steel,"New (Brand new, without any signs of wear)",Sapphire crystal,Black,No numerals,"Jun 3, 2020 - Jun 11, 2020",,Men's watch/Unisex,8YM0I4,"The Netherlands, Maastricht",Submariner (No Date),Automatic,Rolex Cal. 3130,,Bank transfer,,114060,"Original box, original papers",30 ATM,2020,Rolex Submariner No-Date NEW ,16997.0,https://www.chrono24.com.au/rolex/15051762.htm,23303,Others,12.5 mm,,The Netherlands
15244637.htm,Available now,,Basic Info,Ceramic,Gold/Steel,Gold/Steel,Bracelet/strap,Rolex,Caliber,Case,40 mm,Steel,Fold clasp,Gold/Steel,"New (Brand new, without any signs of wear)",Sapphire crystal,Black,No numerals,"Jun 17, 2020 - Jun 29, 2020",Functions,Men's watch/Unisex,92QU54,"United States of America, Florida, Sunny Isles Beach",Submariner Date,Automatic,3135,31,Bank transfer,48 h,116613LN,"Original box, no original papers",30 ATM,2020,Rolex Submariner Date ,22689.0,https://www.chrono24.com.au/rolex/15244637.htm,,,,,United States of America
15278197.htm,,cal. 3135,Basic Info,Ceramic,Steel,Steel,Bracelet/strap,Rolex,Caliber,Case,40 mm,Steel,Fold clasp,Steel,Very good (Worn with little to no signs of wear),Sapphire crystal,Green,No numerals,,Functions,Men's watch/Unisex,93GQD0,"United States of America, Tennesse, Nashville",Submariner Date,Automatic,3135,31,Bank transfer,48 h,116610LV,"Original box, original papers",30 ATM,2020,Rolex Submariner Date ,23071.0,https://www.chrono24.com.au/rolex/15278197.htm,2825,,,,United States of America
15179064.htm,Available now,cal. 3135,Basic Info,Ceramic,Steel,Steel,Bracelet/strap,Rolex,Caliber,Case,40 mm,Steel,Fold clasp,Steel,"Unworn (Mint condition, without signs of wear)",Sapphire crystal,Black,No numerals,,Functions,Men's watch/Unisex,91C8O9,"Germany, Augsburg",Submariner Date,Automatic,3135,31,Bank transfer,48 h,116610LN,"Original box, original papers",30 ATM,2020,Rolex Submariner Date ,20247.0,https://www.chrono24.com.au/rolex/15179064.htm,,,,,Germany
15132191.htm,,,Basic Info,Ceramic,Gold/Steel,Gold/Steel,Bracelet/strap,Rolex,Caliber,Case,40 mm,Gold/Steel,Fold clasp,Gold/Steel,"New (Brand new, without any signs of wear)",Sapphire crystal,Black,No numerals,,Functions,Men's watch/Unisex,90C2N7,"Spain, Arona",Submariner Date,Automatic,3135,31,Bank transfer,48 h,116613LN,"Original box, original papers",30 ATM,2020,Rolex Submariner Date 116613LN full stikers full set 2020 ,23139.0,https://www.chrono24.com.au/rolex/15132191.htm,,,,,Spain
