,@type,availability,name,price,url,image.@type,image.contentUrl,Year,id
0,Offer,http://schema.org/InStock,"Rolex 1680 Submariner—Unpolished—Box, Papers and much more... ",44308.0,https://www.chrono24.com.au/rolex/1680-submarinerunpolishedbox-papers-and-much-more--id15288687.htm,ImageObject,https://cdn2.chrono24.com/images/uhren/15288687-wq5duyryv6peg2vxs3qf0j0t-ExtraLarge.jpg,1980,15288687.htm
1,Offer,http://schema.org/InStock,Rolex Submariner Date with Nipple Dial ,,https://www.chrono24.com.au/rolex/submariner-date-with-nipple-dial--id15239175.htm,ImageObject,https://cdn2.chrono24.com/images/uhren/15239175-pki46i0ev2fjg817j0e2oeq7-ExtraLarge.jpg,1980,15239175.htm
2,Offer,http://schema.org/InStock,Rolex Submariner Date Ref. 16800 Matt Dial Fliston Bezel Full Set ,19565.0,https://www.chrono24.com.au/rolex/submariner-date-ref-16800-matt-dial-fliston-bezel-full-set--id15182933.htm,ImageObject,https://cdn2.chrono24.com/images/uhren/15182933-6z19nzmy1glk03ucfkndwoy9-ExtraLarge.jpg,1980,15182933.htm
3,Offer,http://schema.org/InStock,Rolex Submariner 5513 Men's Watch in  Stainless Steel ,15049.0,https://www.chrono24.com.au/rolex/submariner-5513-mens-watch-in--stainless-steel--id15176347.htm,ImageObject,https://cdn2.chrono24.com/images/uhren/15176347-co8lk5cv5qbzmiu13uw8rnla-ExtraLarge.jpg,1980,15176347.htm
4,Offer,http://schema.org/InStock,Rolex Vintage Rolex Submariner 16800 Stainless Black Dial 1982 ,21382.0,https://www.chrono24.com.au/rolex/vintage-rolex-submariner-16800-stainless-black-dial-1982--id15111996.htm,ImageObject,https://cdn2.chrono24.com/images/uhren/15111996-ghstuyun30pp9qba7n7im17u-ExtraLarge.jpg,1980,15111996.htm
5,Offer,http://schema.org/InStock,Rolex Submariner Date 1680 aus 1980 B+P LC 100 ,26015.0,https://www.chrono24.com.au/rolex/submariner-date-1680-aus-1980-bp-lc-100--id15072831.htm,ImageObject,https://cdn2.chrono24.com/images/uhren/15072831-0rnlh9i3tn9enitm5a0xow8k-ExtraLarge.jpg,1980,15072831.htm
6,Offer,http://schema.org/InStock,Rolex Vintage 1987 Rolex Submariner Date 16800 PUMPKIN PATINA SPIDER DIAL 40mm Watch ,15268.0,https://www.chrono24.com.au/rolex/vintage-1987-rolex-submariner-date-16800-pumpkin-patina-spider-dial-40mm-watch--id15054777.htm,ImageObject,https://cdn2.chrono24.com/images/uhren/15054777-vqlgl0y3im2cr4xn85geiwgw-ExtraLarge.jpg,1980,er-dial-40mm-watch--id15054777.htm
7,Offer,http://schema.org/InStock,Rolex Submariner Mk 3 Maxi Dial 5513 ,29775.0,https://www.chrono24.com.au/rolex/submariner-mk-3-maxi-dial-5513--id15008173.htm,ImageObject,https://cdn2.chrono24.com/images/uhren/15008173-df83kfvj3okyc9govc07tbkn-ExtraLarge.jpg,1980,15008173.htm
8,Offer,http://schema.org/InStock,Rolex Submariner 16800 Black Spider Web Dial Stainless Steel ,15271.0,https://www.chrono24.com.au/rolex/submariner-16800-black-spider-web-dial-stainless-steel--id14954595.htm,ImageObject,https://cdn2.chrono24.com/images/uhren/14954595-hphibo62othn79f9zdptflpe-ExtraLarge.jpg,1980,er-web-dial-stainless-steel--id14954595.htm
9,Offer,http://schema.org/InStock,Rolex Submariner Date ,13598.0,https://www.chrono24.com.au/rolex/submariner-date--id14943386.htm,ImageObject,https://cdn2.chrono24.com/images/uhren/14943386-bfek7z7ff8dnn5smciwk846c-ExtraLarge.jpg,1980,14943386.htm
10,Offer,http://schema.org/InStock,Rolex Vintage Rolex Submariner 16808 Incredibly Rare Tropical Blue Nipple Dial ,4576.0,https://www.chrono24.com.au/rolex/vintage-rolex-submariner-16808-incredibly-rare-tropical-blue-nipple-dial--id14937533.htm,ImageObject,https://cdn2.chrono24.com/images/uhren/14937533-o25hg2mfnobgl0j5qsihh0t5-ExtraLarge.jpg,1980,14937533.htm
