,Availability,Basic Info,Bezel material,Bracelet color,Bracelet length,Bracelet material,Bracelet thickness,Bracelet/strap,Brand,Buckle width,Caliber,Case,Case diameter,Case material,Clasp,Clasp material,Code,Condition,Date,Dial,Dial numerals,Expected delivery,Functions,Gender,Glass,Listing number,Location,Lug width,Model,Movement,Movement/Caliber,Number of jewels,Payment Method,Power reserve,Reference number,Scope of delivery,Thickness,Water resistance,Year,name,price,url,Base caliber,Chronograph,Others,"Chronograph, Tachymeter","Date, Tachymeter","Date, GMT",Frequency,GMT
12932697.htm,Available now,Basic Info,,,,Ostrich skin,,Bracelet/strap,Rolex,,Caliber,Case,32 mm,Steel,,,,Very good (Worn with little to no signs of wear),,,,"Nov 30, 2019 - Dec 12, 2019",,Men's watch/Unisex,Plexiglass,7P6XL1,"France, Strasbourg",,Bubble Back,Automatic,,,Bank transfer,,5015,"No original box, no original papers",,,1948 (Approximation),"Rolex Oyster (""Bubble Back"") ",4901,https://www.chrono24.com.au/rolex/12932697.htm,,,,,,,,
12933234.htm,Available now,Basic Info,Steel,Steel,,Steel,,Bracelet/strap,Rolex,10 mm,Caliber,Case,26 mm,Steel,Fold clasp,Steel,88534773,Fair (Obvious signs of wear or scratches),Date,Silver,No numerals,"Nov 30, 2019 - Dec 12, 2019",Functions,Women's watch,Plexiglass,7P7CI6,"Germany, Koblenz",13 mm  Size guide,Lady-Datejust,Automatic,2030,,Bank transfer,,6917,"Original papers, no original box",11 mm,,1986,Rolex Lady-Datejust ,3618,https://www.chrono24.com.au/rolex/12933234.htm,,,Others,,,,,
12932663.htm,Available now,Basic Info,Steel,Steel,,Steel,,Bracelet/strap,Rolex,,Caliber,Case,26 x 29 mm,Steel,Fold clasp,Steel,,Very good (Worn with little to no signs of wear),,White,Arabic numerals,"Nov 30, 2019 - Dec 12, 2019",,Women's watch,Sapphire Glass,7P6WN4,"Spain, Barcelona",,Oyster Perpetual 26,Automatic,2231,31,Bank transfer,48 h,176200,"Original box, original papers",,10 ATM,2017,Rolex Oyster Perpetual 26 ,5905,https://www.chrono24.com.au/rolex/12932663.htm,,,,,,,,
12933231.htm,Available now,Basic Info,Yellow gold,Gold,,Yellow gold,,Bracelet/strap,Rolex,,Caliber,Case,42 mm,Yellow gold,Fold clasp,Yellow gold,,"Unworn (Mint condition, without signs of wear)",Date,Black,Arabic numerals,"Nov 26, 2019 - Dec 4, 2019",Functions,Men's watch/Unisex,Sapphire Glass,7P7CF0,"Germany, Düsseldorf",,Sky-Dweller,Automatic,9001,40,Bank transfer,72 h,326938,"Original box, original papers",,10 ATM,2019,Rolex Sky-Dweller Gold Black Dial - 2019 NEW - LC100 ,62343,https://www.chrono24.com.au/rolex/12933231.htm,,,,,,,,
12933230.htm,Available now,Basic Info,Yellow gold,Brown,,Leather,,Bracelet/strap,Rolex,,Caliber,Case,34 mm,Yellow gold,Buckle,Steel,,Very good (Worn with little to no signs of wear),Date,Silver,No numerals,"Nov 16, 2019 - Nov 25, 2019",Functions,Men's watch/Unisex,Plexiglass,7P7CE8,"France, Cannes",,Oyster Perpetual Date,Automatic,1570,26,Bank transfer,48 h,1503,"Original box, no original papers",,10 ATM,1979,Rolex Oyster Perpetual Date 1503 Or Jaune 14K ,8636,https://www.chrono24.com.au/rolex/12933230.htm,,,Others,,,,,
12932832.htm,Available now,Basic Info,,,,Leather,,Bracelet/strap,Rolex,,Caliber,Case,36 mm,Steel,,,21128,Pre-owned,Date,Silver,,"Nov 26, 2019 - Dec 4, 2019",Functions,,Plexiglass,7P71C1,"Belgium, Bruxelles",,Datejust,Automatic,,,Bank transfer,,,"No original box, no original papers",,,1977,Rolex Datejust 1601 ,5675,https://www.chrono24.com.au/rolex/12932832.htm,,,Others,,,,,
12933191.htm,Available now,Basic Info,Yellow gold,Gold/Steel,,Gold/Steel,,Bracelet/strap,Rolex,16 mm,Caliber,Case,36 mm,Gold/Steel,Fold clasp,Steel,80948882,Good (Light signs of wear or scratches),Date,Silver,No numerals,"Nov 30, 2019 - Dec 12, 2019",Functions,Men's watch/Unisex,Plexiglass,7P7BB4,"Germany, Koblenz",20 mm  Size guide,Datejust Turn-O-Graph,Automatic,3035,27,Bank transfer,,16253,"No original box, no original papers",12 mm,,1962 (Approximation),Rolex Datejust Turn-O-Graph ,6908,https://www.chrono24.com.au/rolex/12933191.htm,,,Others,,,,,
12933186.htm,Available now,Basic Info,,Gold,,Yellow gold,,Bracelet/strap,Rolex,,Caliber,Case,26 mm,Yellow gold,Fold clasp,Yellow gold,4327,Very good (Worn with little to no signs of wear),Date,Gold,No numerals,"Nov 26, 2019 - Dec 4, 2019",Functions,Women's watch,Plexiglass,7P7B61,"Spain, Barcelona",,Lady-Datejust,Automatic,,28,Bank transfer,42 h,6917,"No original box, no original papers",,10 ATM,1973,Rolex Datejust 6917 Automatic 18K Gold  Lady ,5263,https://www.chrono24.com.au/rolex/12933186.htm,Cal. 2135,,,,,,,
12933183.htm,Available now,Basic Info,,Steel,,Steel,,Bracelet/strap,Rolex,,Caliber,Case,36 mm,Steel,Fold clasp,,3950,Very good (Worn with little to no signs of wear),Date,Silver,,"Nov 30, 2019 - Dec 12, 2019",Functions,Women's watch,Plexiglass,7P7B35,"Germany, Köln",,Datejust,Automatic,,,Bank transfer,,16234,"Original box, original papers",,,1993,Rolex Datejust Stahl 16234 ,7550,https://www.chrono24.com.au/rolex/12933183.htm,,,Others,,,,,
12933182.htm,Available now,Basic Info,,Gold/Steel,,Gold/Steel,,Bracelet/strap,Rolex,,Caliber,Case,41 mm,Gold/Steel,Fold clasp,,3943,Very good (Worn with little to no signs of wear),Date,,,"Nov 30, 2019 - Dec 12, 2019",Functions,Men's watch/Unisex,Sapphire Glass,7P7B23,"Germany, Köln",,Datejust II,Automatic,,,Bank transfer,,116333,"Original box, original papers",,,2015,Rolex Datejust 2 Iced out Stahl/Gold 116333 ,46042,https://www.chrono24.com.au/rolex/12933182.htm,,,Others,,,,,
12933181.htm,Available now,Basic Info,,Gold,,Yellow gold,,Bracelet/strap,Rolex,,Caliber,Case,40 mm,Yellow gold,Fold clasp,,3949,Very good (Worn with little to no signs of wear),Date,Blue,,"Nov 30, 2019 - Dec 12, 2019",Functions,Men's watch/Unisex,Sapphire Glass,7P7B11,"Germany, Köln",,Submariner Date,Automatic,,,Bank transfer,,116618LN,"Original box, original papers",,,2016,Rolex Submariner Gelbgold 116618LN ,44890,https://www.chrono24.com.au/rolex/12933181.htm,,,Others,,,,,
12933180.htm,Available now,Basic Info,,Gold/Steel,,Gold/Steel,,Bracelet/strap,Rolex,,Caliber,Case,40 mm,Gold/Steel,Fold clasp,,3948,Very good (Worn with little to no signs of wear),,Black,,"Nov 30, 2019 - Dec 12, 2019",Functions,Men's watch/Unisex,Sapphire Glass,7P7B09,"Germany, Köln",,Daytona,Automatic,,,Bank transfer,,116503,"No original box, no original papers",,,Unknown,Rolex Daytona Stahl/Gold 116503 ,24657,https://www.chrono24.com.au/rolex/12933180.htm,,Chronograph,Others,,,,,
12933179.htm,Available now,Basic Info,,,,Leather,,Bracelet/strap,Rolex,,Caliber,Case,40 mm,White gold,Fold clasp,,3947,Very good (Worn with little to no signs of wear),,Black,,"Nov 30, 2019 - Dec 12, 2019",Functions,Men's watch/Unisex,Sapphire Glass,7P7AZ4,"Germany, Köln",,Daytona,Automatic,,,Bank transfer,,116519,"Original box, original papers",,,2007,Rolex Daytona Weißgold 116519 ,27947,https://www.chrono24.com.au/rolex/12933179.htm,,Chronograph,Others,,,,,
12933152.htm,Available now,Basic Info,White gold,Steel,,Steel,,Bracelet/strap,Rolex,,Caliber,Case,31 mm,Steel,Fold clasp,Steel,,Very good (Worn with little to no signs of wear),Date,Black,,"Nov 30, 2019 - Dec 12, 2019",Functions,Women's watch,Sapphire Glass,7P7A84,"Italy, ZEVIO",,Lady-Datejust,Automatic,2235,31,Bank transfer,48 h,178274,"Original box, original papers",,10 ATM,2019,Rolex Lady-Datejust ,11152,https://www.chrono24.com.au/rolex/12933152.htm,2235,,,,,,,
12932386.htm,Available now,Basic Info,,Steel,150 mm,Steel,,Bracelet/strap,Rolex,,Caliber,Case,31 mm,Steel,Fold clasp,,181108,Very good (Worn with little to no signs of wear),,Black,,"Nov 30, 2019 - Dec 12, 2019",,,Sapphire Glass,7P6OY4,"Germany, München",,Oyster Perpetual 31,Automatic,,,Bank transfer,,77014,"No original box, no original papers",,,2002,Rolex Oyster Perpetual 31mm Ref. 77014 ,5724,https://www.chrono24.com.au/rolex/12932386.htm,,,,,,,,
